,Status,Ano/Período de ingresso,Contagem Masculino
17,CONCLUÍDO,2011,0.01408450704
18,CONCLUÍDO,2012,0.02816901408
19,CONCLUÍDO,2014,0.01408450704
0,ATIVO,2016,0.01408450704
20,CONCLUÍDO,2016,0.01408450704
29,FORMANDO,2017,0.01408450704
30,FORMANDO,2018,0.01408450704
1,ATIVO,2018,0.02816901408
21,CONCLUÍDO,2018,0.01408450704
2,ATIVO,2019,0.1126760563
3,ATIVO,2020,0.1126760563
22,CONCLUÍDO,2020,0.01408450704
4,ATIVO,2021,0.1549295775
5,ATIVO,2022,0.1549295775
6,ATIVO,2023,0.2957746479
