codigo,ano,situacao,periodo,genero
QUI0064,2018,DISPENSADO,1,masculino
MAT0067,2018,DISPENSADO,1,masculino
ESTAT0011,2018,DISPENSADO,1,masculino
FISI0274,2018,APROVADO,1,masculino
FISI0274,2018,APROVADO,1,masculino
FISI0274,2018,CANCELADO,1,feminino
FISI0274,2018,APROVADO,1,feminino
FISI0327,2018,APROVADO,1,masculino
FISI0327,2018,APROVADO,1,masculino
FISI0274,2018,APROVADO,1,feminino
FISI0274,2018,APROVADO,1,masculino
FISI0327,2018,APROVADO,1,feminino
MAT0150,2018,APROVADO,1,masculino
FISI0274,2018,CANCELADO,1,masculino
FISI0274,2018,TRANCADO,1,feminino
FISI0274,2018,CANCELADO,1,masculino
MAT0150,2018,APROVADO,1,masculino
FISI0327,2018,REPROVADO,1,feminino
FISI0327,2018,CANCELADO,1,feminino
MAT0151,2018,APROVADO,1,masculino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0327,2018,CANCELADO,1,masculino
FISI0327,2018,APROVADO,1,masculino
FISI0327,2018,CANCELADO,1,masculino
FISI0327,2018,TRANCADO,1,feminino
MAT0150,2018,APROVADO,1,feminino
FISI0327,2018,REPROVADO,1,masculino
QUI0064,2018,APROVADO,1,masculino
MAT0150,2018,CANCELADO,1,masculino
MAT0150,2018,CANCELADO,1,masculino
MAT0150,2018,REPROVADO,1,feminino
MAT0150,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
MAT0151,2018,REPROVADO,1,masculino
MAT0151,2018,APROVADO,1,feminino
MAT0151,2018,CANCELADO,1,masculino
MAT0151,2018,CANCELADO,1,masculino
MAT0151,2018,TRANCADO,1,feminino
QUI0064,2018,APROVADO,1,masculino
QUI0064,2018,APROVADO,1,feminino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
MAT0150,2018,APROVADO,1,masculino
QUI0064,2018,CANCELADO,1,masculino
MAT0150,2018,CANCELADO,1,feminino
MAT0150,2018,APROVADO,1,feminino
QUI0064,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
QUI0064,2018,APROVADO,1,feminino
MAT0151,2018,APROVADO,1,masculino
MAT0151,2018,APROVADO,1,feminino
QUI0064,2018,APROVADO,1,masculino
QUI0064,2018,APROVADO,1,feminino
QUI0064,2018,CANCELADO,1,masculino
MAT0151,2018,CANCELADO,1,feminino
QUI0064,2018,CANCELADO,1,feminino
FISI0274,2018,APROVADO,1,feminino
FISI0327,2018,APROVADO,1,feminino
FISI0274,2018,REPROVADO,1,masculino
FISI0274,2018,APROVADO,1,feminino
FISI0274,2018,APROVADO,1,feminino
FISI0274,2018,APROVADO,1,masculino
FISI0327,2018,APROVADO,1,feminino
FISI0327,2018,REPROVADO,1,masculino
FISI0327,2018,APROVADO,1,feminino
MAT0150,2018,APROVADO,1,feminino
MAT0151,2018,APROVADO,1,feminino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
MAT0151,2018,EXCLUIDA,1,masculino
FISI0327,2018,APROVADO,1,masculino
MAT0150,2018,APROVADO,1,feminino
QUI0064,2018,APROVADO,1,feminino
MAT0150,2018,APROVADO,1,feminino
FISI0327,2018,REPROVADO,1,masculino
MAT0150,2018,APROVADO,1,masculino
FISI0274,2018,APROVADO,1,masculino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
MAT0151,2018,APROVADO,1,feminino
MAT0150,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0327,2018,APROVADO,1,feminino
QUI0064,2018,APROVADO,1,feminino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
MAT0150,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
QUI0064,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
MAT0151,2018,APROVADO,1,masculino
FISI0327,2018,APROVADO,1,masculino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
MAT0151,2018,APROVADO,1,feminino
QUI0064,2018,APROVADO,1,masculino
MAT0150,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
QUI0064,2018,APROVADO,1,feminino
QUI0064,2018,APROVADO,1,feminino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
QUI0064,2018,APROVADO,1,masculino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0327,2018,REPROVADO,1,masculino
MAT0150,2018,REPROVADO,1,masculino
MAT0151,2018,REPROVADO,1,masculino
QUI0064,2018,REPROVADO,1,masculino
FISI0274,2018,APROVADO,1,feminino
FISI0274,2018,CANCELADO,1,feminino
FISI0327,2018,APROVADO,1,feminino
FISI0327,2018,CANCELADO,1,feminino
MAT0150,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
MAT0150,2018,CANCELADO,1,feminino
MAT0151,2018,CANCELADO,1,feminino
MAT0151,2018,REPROVADO,1,feminino
QUI0064,2018,APROVADO,1,feminino
QUI0064,2018,CANCELADO,1,feminino
FISI0274,2018,APROVADO,1,masculino
FISI0327,2018,APROVADO,1,masculino
MAT0150,2018,REPROVADO,1,masculino
MAT0151,2018,REPROVADO,1,masculino
QUI0064,2018,APROVADO,1,masculino
FISI0274,2018,TRANCADO,1,feminino
FISI0327,2018,REPROVADO,1,feminino
MAT0150,2018,REPROVADO,1,feminino
MAT0151,2018,TRANCADO,1,feminino
QUI0064,2018,REPROVADO,1,feminino
FISI0274,2018,TRANCADO,1,masculino
FISI0327,2018,TRANCADO,1,masculino
MAT0150,2018,TRANCADO,1,masculino
MAT0151,2018,TRANCADO,1,masculino
QUI0064,2018,TRANCADO,1,masculino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0327,2018,TRANCADO,1,masculino
MAT0150,2018,TRANCADO,1,masculino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
QUI0064,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0274,2018,TRANCADO,1,masculino
FISI0327,2018,TRANCADO,1,masculino
MAT0150,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
QUI0064,2018,TRANCADO,1,masculino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
FISI0327,2018,REPROVADO,1,feminino
MAT0150,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
QUI0064,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
FISI0274,2018,APROVADO,1,masculino
FISI0327,2018,APROVADO,1,masculino
MAT0150,2018,REPROVADO,1,masculino
MAT0151,2018,TRANCADO,1,masculino
QUI0064,2018,REPROVADO,1,masculino
FISI0274,2018,APROVADO,1,feminino
FISI0327,2018,REPROVADO,1,feminino
MAT0150,2018,TRANCADO,1,feminino
MAT0151,2018,TRANCADO,1,feminino
QUI0064,2018,TRANCADO,1,feminino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0327,2018,DESISTENCIA,1,masculino
MAT0150,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
QUI0064,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
FISI0327,2018,REPROVADO,1,feminino
MAT0150,2018,REPROVADO,1,feminino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
QUI0064,2018,REPROVADO POR MÉDIA E POR FALTAS,1,feminino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0327,2018,REPROVADO,1,masculino
MAT0150,2018,REPROVADO,1,masculino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
QUI0064,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0274,2018,APROVADO,1,feminino
FISI0327,2018,APROVADO,1,feminino
MAT0150,2018,APROVADO,1,feminino
MAT0151,2018,REPROVADO,1,feminino
QUI0064,2018,APROVADO,1,feminino
FISI0274,2018,APROVADO,1,feminino
FISI0327,2018,DESISTENCIA,1,feminino
MAT0150,2018,DESISTENCIA,1,feminino
MAT0151,2018,DESISTENCIA,1,feminino
QUI0064,2018,REPROVADO,1,feminino
FISI0274,2018,APROVADO,1,masculino
FISI0327,2018,REPROVADO,1,masculino
MAT0150,2018,REPROVADO,1,masculino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
QUI0064,2018,REPROVADO,1,masculino
FISI0274,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
FISI0327,2018,REPROVADO,1,masculino
MAT0150,2018,REPROVADO,1,masculino
MAT0151,2018,REPROVADO POR MÉDIA E POR FALTAS,1,masculino
QUI0064,2018,REPROVADO,1,masculino
