,codigo,ano,situacao,qtd_feminino,qtd_masculino
14,PROGRAMACAO IMPERATIVA,2017,APROVADO,0.1428571429,0.2083333333
15,PROGRAMACAO IMPERATIVA,2017,DESISTENCIA,0,0.08333333333
16,PROGRAMACAO IMPERATIVA,2017,REP. MEDIA/FALTAS,0.1428571429,0.2916666667
17,PROGRAMACAO IMPERATIVA,2017,REPROVADO,0.09523809524,0.1666666667
18,PROGRAMACAO IMPERATIVA,2017,TRANCADO,0,0.125
19,PROGRAMACAO IMPERATIVA,2018,APROVADO,0.4285714286,0.4166666667
20,PROGRAMACAO IMPERATIVA,2018,REP. MEDIA/FALTAS,0.380952381,0.6666666667
21,PROGRAMACAO IMPERATIVA,2018,REPROVADO,0.1904761905,0.125
22,PROGRAMACAO IMPERATIVA,2018,TRANCADO,0,0.4166666667
23,PROGRAMACAO IMPERATIVA,2019,APROVADO,0.1904761905,0.3333333333
24,PROGRAMACAO IMPERATIVA,2019,REP. MEDIA/FALTAS,0.9047619048,0.75
25,PROGRAMACAO IMPERATIVA,2019,REPROVADO,0.04761904762,0.08333333333
26,PROGRAMACAO IMPERATIVA,2019,TRANCADO,0.1428571429,0.25
27,PROGRAMACAO IMPERATIVA,2020,APROVADO,0.1428571429,0.1666666667
28,PROGRAMACAO IMPERATIVA,2020,REPROVADO,0.2857142857,0.375
29,PROGRAMACAO IMPERATIVA,2020,TRANCADO,0.2857142857,0.08333333333
30,PROGRAMACAO IMPERATIVA,2021,APROVADO,0.8095238095,0.4583333333
32,PROGRAMACAO IMPERATIVA,2021,REPROVADO,0.2380952381,0.2083333333
33,PROGRAMACAO IMPERATIVA,2021,TRANCADO,0.2380952381,0.125
34,PROGRAMACAO IMPERATIVA,2022,APROVADO,0.5714285714,0.2083333333
36,PROGRAMACAO IMPERATIVA,2022,REP. MEDIA/FALTAS,0,0.08333333333
37,PROGRAMACAO IMPERATIVA,2022,REPROVADO,0.09523809524,0.2916666667
38,PROGRAMACAO IMPERATIVA,2022,TRANCADO,0.09523809524,0.25
183,FISICA 1,2017,APROVADO,0.09523809524,0.125
184,FISICA 1,2017,REP. MEDIA/FALTAS,0.1428571429,0.2916666667
185,FISICA 1,2017,REPROVADO,0.1428571429,0.2083333333
186,FISICA 1,2018,APROVADO,0.380952381,0.4583333333
187,FISICA 1,2018,REP. MEDIA/FALTAS,0.04761904762,0.08333333333
188,FISICA 1,2018,REPROVADO,0.04761904762,0.2083333333
189,FISICA 1,2018,TRANCADO,0,0.08333333333
190,FISICA 1,2019,APROVADO,0.1428571429,0.375
191,FISICA 1,2019,REP. MEDIA/FALTAS,0,0.125
192,FISICA 1,2019,REPROVADO,0.09523809524,0.1666666667
193,FISICA 1,2020,APROVADO,0.380952381,0.25
194,FISICA 1,2020,REPROVADO,0.04761904762,0.1666666667
195,FISICA 1,2020,TRANCADO,0.04761904762,0.08333333333
