codigo,ano,situacao,qtd_feminino,qtd_masculino
PROGRAMACAO IMPERATIVA,2017,APROVADO,0.1428571429,0.2083333333
PROGRAMACAO IMPERATIVA,2017,DESISTENCIA,0,0.08333333333
PROGRAMACAO IMPERATIVA,2017,REP. MEDIA/FALTAS,0.1428571429,0.2916666667
PROGRAMACAO IMPERATIVA,2017,REPROVADO,0.09523809524,0.1666666667
PROGRAMACAO IMPERATIVA,2017,TRANCADO,0,0.125
PROGRAMACAO IMPERATIVA,2018,APROVADO,0.4285714286,0.4166666667
PROGRAMACAO IMPERATIVA,2018,REP. MEDIA/FALTAS,0.380952381,0.6666666667
PROGRAMACAO IMPERATIVA,2018,REPROVADO,0.1904761905,0.125
PROGRAMACAO IMPERATIVA,2018,TRANCADO,0,0.4166666667
PROGRAMACAO IMPERATIVA,2019,APROVADO,0.1904761905,0.3333333333
PROGRAMACAO IMPERATIVA,2019,REP. MEDIA/FALTAS,0.9047619048,0.75
PROGRAMACAO IMPERATIVA,2019,REPROVADO,0.04761904762,0.08333333333
PROGRAMACAO IMPERATIVA,2019,TRANCADO,0.1428571429,0.25
PROGRAMACAO IMPERATIVA,2020,APROVADO,0.1428571429,0.1666666667
PROGRAMACAO IMPERATIVA,2020,REPROVADO,0.2857142857,0.375
PROGRAMACAO IMPERATIVA,2020,TRANCADO,0.2857142857,0.08333333333
PROGRAMACAO IMPERATIVA,2021,APROVADO,0.8095238095,0.4583333333
PROGRAMACAO IMPERATIVA,2021,REPROVADO,0.2380952381,0.2083333333
PROGRAMACAO IMPERATIVA,2021,TRANCADO,0.2380952381,0.125
PROGRAMACAO IMPERATIVA,2022,APROVADO,0.5714285714,0.2083333333
PROGRAMACAO IMPERATIVA,2022,REP. MEDIA/FALTAS,0,0.08333333333
PROGRAMACAO IMPERATIVA,2022,REPROVADO,0.09523809524,0.2916666667
PROGRAMACAO IMPERATIVA,2022,TRANCADO,0.09523809524,0.25
FISICA 1,2017,APROVADO,0.09523809524,0.125
FISICA 1,2017,REP. MEDIA/FALTAS,0.1428571429,0.2916666667
FISICA 1,2017,REPROVADO,0.1428571429,0.2083333333
FISICA 1,2018,APROVADO,0.380952381,0.4583333333
FISICA 1,2018,REP. MEDIA/FALTAS,0.04761904762,0.08333333333
FISICA 1,2018,REPROVADO,0.04761904762,0.2083333333
FISICA 1,2018,TRANCADO,0,0.08333333333
FISICA 1,2019,APROVADO,0.1428571429,0.375
FISICA 1,2019,REP. MEDIA/FALTAS,0,0.125
FISICA 1,2019,REPROVADO,0.09523809524,0.1666666667
FISICA 1,2020,APROVADO,0.380952381,0.25
FISICA 1,2020,REPROVADO,0.04761904762,0.1666666667
FISICA 1,2020,TRANCADO,0.04761904762,0.08333333333
FISICA 1,2021,APROVADO,0.5238095238,0.375
FISICA 1,2021,REPROVADO,0.1904761905,0.25
FISICA 1,2021,TRANCADO,0.09523809524,0.08333333333
FISICA 1,2022,APROVADO,0.4761904762,0.3333333333
FISICA 1,2022,REP. MEDIA/FALTAS,0.09523809524,0.1666666667
FISICA 1,2022,REPROVADO,0.09523809524,0.125
FISICA 2,2017,APROVADO,0.04761904762,0.08333333333
FISICA 2,2017,REP. MEDIA/FALTAS,0,0.08333333333
FISICA 2,2017,REPROVADO,0,0.125
FISICA 2,2017,TRANCADO,0.04761904762,0.08333333333
FISICA 2,2018,APROVADO,0.09523809524,0.1666666667
FISICA 2,2018,REPROVADO,0.2380952381,0.08333333333
FISICA 2,2018,TRANCADO,0,0.125
FISICA 2,2019,APROVADO,0.380952381,0.25
FISICA 2,2019,REP. MEDIA/FALTAS,0,0.08333333333
FISICA 2,2019,REPROVADO,0.09523809524,0.1666666667
FISICA 2,2020,APROVADO,0.09523809524,0.4583333333
FISICA 2,2020,REPROVADO,0,0.08333333333
FISICA 2,2021,APROVADO,0.2857142857,0.2916666667
FISICA 2,2021,REPROVADO,0.09523809524,0
FISICA 2,2021,TRANCADO,0,0.08333333333
FISICA 2,2022,APROVADO,0.4761904762,0.125
FISICA 2,2022,REP. MEDIA/FALTAS,0.09523809524,0
FISICA 2,2022,REPROVADO,0.2380952381,0.08333333333
FISICA 3,2017,APROVADO,0,0.125
FISICA 3,2017,TRANCADO,0.1428571429,0
FISICA 3,2018,APROVADO,0.1428571429,0.08333333333
FISICA 3,2018,DESISTENCIA,0,0.08333333333
FISICA 3,2018,REPROVADO,0.04761904762,0.25
FISICA 3,2019,APROVADO,0.3333333333,0.2916666667
FISICA 3,2019,REPROVADO,0.04761904762,0.08333333333
FISICA 3,2019,TRANCADO,0.09523809524,0.08333333333
FISICA 3,2020,APROVADO,0.1428571429,0.25
FISICA 3,2020,REPROVADO,0,0.125
FISICA 3,2021,APROVADO,0.1904761905,0.2916666667
FISICA 3,2021,REPROVADO,0.04761904762,0.125
FISICA 3,2021,TRANCADO,0.04761904762,0.08333333333
FISICA 3,2022,APROVADO,0.4285714286,0.1666666667
FISICA 3,2022,REP. MEDIA/FALTAS,0.09523809524,0.08333333333
FISICA 3,2022,REPROVADO,0.09523809524,0.04166666667
FISICA 3,2022,TRANCADO,0,0.125
FISICA E SOCIEDADE,2017,APROVADO,0.1904761905,0.375
FISICA E SOCIEDADE,2017,DESISTENCIA,0.09523809524,0.08333333333
FISICA E SOCIEDADE,2017,REP. MEDIA/FALTAS,0.4285714286,0.375
FISICA E SOCIEDADE,2017,REPROVADO,0,0.25
FISICA E SOCIEDADE,2017,TRANCADO,0.09523809524,0.1666666667
FISICA E SOCIEDADE,2018,APROVADO,0.6666666667,0.5
FISICA E SOCIEDADE,2018,REP. MEDIA/FALTAS,0.380952381,0.625
FISICA E SOCIEDADE,2018,TRANCADO,0.09523809524,0.2083333333
FISICA E SOCIEDADE,2019,APROVADO,0.619047619,0.625
FISICA E SOCIEDADE,2019,REP. MEDIA/FALTAS,0.4761904762,0.4583333333
FISICA E SOCIEDADE,2019,REPROVADO,0.04761904762,0.08333333333
FISICA E SOCIEDADE,2019,TRANCADO,0.09523809524,0.04166666667
FISICA E SOCIEDADE,2020,APROVADO,0.619047619,0.7083333333
FISICA E SOCIEDADE,2020,REPROVADO,0.1904761905,0.4583333333
FISICA E SOCIEDADE,2020,TRANCADO,0.09523809524,0.04166666667
FISICA E SOCIEDADE,2021,APROVADO,0.7619047619,0.4583333333
FISICA E SOCIEDADE,2021,REPROVADO,0.2857142857,0.3333333333
