Status,% Integralizado,Ano/Período última matrícula válida,Ano/Período de ingresso
CANCELADO,"0,00%",2017.2,2016.2
EXCLUÍDO,"0,00%",-,2020.1
CANCELADO,"0,00%",2021.1,2021.1
ATIVO,"12,20%",2023.1,2018.1
CANCELADO,"0,00%",2019.1,2015.2
CANCELADO,"0,00%",2018.1,2018.1
EXCLUÍDO,"0,00%",-,2021.1
CANCELADO,"0,00%",2018.1,2016.2
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2019.1
ATIVO,"53,66%",2023.1,2020.1
EXCLUÍDO,"0,00%",-,2023.1
CANCELADO,"19,51%",2021.2,2020.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2020.1
ATIVO,"12,20%",2022.2,2021.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2020.1
ATIVO,"0,00%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2023.1
ATIVO,"37,80%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2021.1
ATIVO,"0,00%",2023.1,2023.1
CANCELADO,"0,00%",2020.2,2020.1
CANCELADO,"0,00%",2019.2,2019.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.2
ATIVO,"2,44%",2022.2,2021.1
CANCELADO,"0,00%",2018.1,2018.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2020.1
CANCELADO,"62,20%",2022.1,2015.1
CANCELADO,"30,49%",2021.2,2020.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"7,32%",2018.2,2015.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"24,39%",2021.1,2020.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2023.1
ATIVO,"9,76%",2022.2,2019.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2020.1
CANCELADO,"0,00%",2018.2,2017.2
CANCELADO,"0,00%",2019.2,2019.1
CANCELADO,"51,22%",2020.2,2015.2
EXCLUÍDO,"0,00%",-,2020.1
CANCELADO,"0,00%",2017.2,2016.2
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2018.2
TRANCADO,"9,76%",2023.1,2021.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2023.1
CANCELADO,"0,00%",2018.1,2016.2
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2018.1
ATIVO,"43,90%",2023.1,2019.1
CANCELADO,"0,00%",2018.1,2018.1
CANCELADO,"32,93%",2018.2,2017.2
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2022.1
ATIVO,"31,71%",2023.1,2021.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"46,34%",2021.2,2019.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"2,44%",2021.1,2020.1
CANCELADO,"2,44%",2019.2,2019.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2023.1
CANCELADO,"12,20%",2020.1,2020.1
CANCELADO,"4,88%",2019.2,2018.1
ATIVO,"64,63%",2023.1,2019.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"12,20%",2020.2,2020.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2022.1
ATIVO,"0,00%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2018.2
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"4,88%",2022.1,2017.2
EXCLUÍDO,"0,00%",-,2023.1
CANCELADO,"29,27%",2021.1,2020.1
EXCLUÍDO,"0,00%",-,2020.1
CANCELADO,"0,00%",2021.2,2021.1
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"46,34%",2018.1,2014.2
EXCLUÍDO,"0,00%",-,2018.1
ATIVO,"81,71%",2023.1,2019.1
CANCELADO,"0,00%",2018.1,2015.2
ATIVO,"0,00%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2022.1
ATIVO,"0,00%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2020.1
CANCELADO,"0,00%",2020.1,2020.1
CANCELADO,"20,12%",2018.1,2017.2
CANCELADO,"0,00%",-,2019.1
CANCELADO,"46,34%",2018.2,2015.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2022.1
ATIVO,"24,39%",2023.1,2022.1
CANCELADO,"0,00%",2018.2,2018.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2021.1
CANCELADO,"4,88%",2018.1,2012.2
ATIVO,"50,00%",2023.1,2022.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2020.1
ATIVO,"10,98%",2023.1,2020.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2022.1
CANCELADO,"0,00%",2018.2,2015.2
CANCELADO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2018.2
CANCELADO,"0,00%",2018.1,2018.1
CANCELADO,"60,98%",2022.1,2017.2
EXCLUÍDO,"0,00%",-,2018.2
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2018.2
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
ATIVO,"24,39%",2023.1,2019.1
ATIVO,"2,44%",2023.1,2022.1
PENDENTE CADASTRO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2019.1
ATIVO,"42,68%",2023.1,2021.1
EXCLUÍDO,"0,00%",-,2020.1
ATIVO,"89,02%",2023.1,2016.2
CANCELADO,"2,44%",2020.1,2015.2
EXCLUÍDO,"0,00%",-,2021.1
ATIVO,"41,46%",2023.1,2019.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2019.1
ATIVO,"0,00%",2023.1,2023.1
ATIVO,"40,24%",2023.1,2021.1
CANCELADO,"60,98%",2021.2,2018.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2018.2
EXCLUÍDO,"0,00%",-,2018.2
CANCELADO,"23,17%",2019.1,2016.2
EXCLUÍDO,"0,00%",-,2018.2
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"23,17%",2021.2,2020.1
ATIVO,"0,00%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2021.1
ATIVO,"0,00%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"25,61%",2018.1,2016.2
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"0,00%",2019.1,2017.2
EXCLUÍDO,"0,00%",-,2021.1
CANCELADO,"9,76%",2019.2,2018.1
EXCLUÍDO,"0,00%",-,2023.1
CANCELADO,"0,00%",2019.2,2019.1
CANCELADO,"0,00%",2019.1,2018.1
ATIVO,"76,83%",2023.1,2020.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2019.1
ATIVO,"35,37%",2023.1,2022.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2018.2
EXCLUÍDO,"0,00%",-,2023.1
CANCELADO,"14,63%",2022.2,2016.2
EXCLUÍDO,"0,00%",-,2019.1
ATIVO,"0,00%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2022.1
CANCELADO,"36,59%",2022.1,2020.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2019.1
ATIVO,"52,44%",2023.1,2021.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"0,00%",2018.1,2017.2
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2018.2
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2021.1
ATIVO,"4,88%",2023.1,2022.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2020.1
CANCELADO,"73,17%",2018.2,2012.2
CANCELADO,"29,27%",2018.1,2015.1
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"0,00%",2017.2,2017.2
CANCELADO,"0,00%",2017.2,2016.2
CANCELADO,"4,88%",2018.3,2018.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2022.1
CANCELADO,"0,00%",2019.1,2018.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"7,32%",2017.2,2017.2
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"0,00%",2020.1,2016.2
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2023.1
ATIVO,"0,00%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2021.1
ATIVO,"0,00%",2023.1,2023.1
ATIVO,"21,95%",2023.1,2022.2
ATIVO,"0,00%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2021.1
CANCELADO,"9,76%",2020.1,2017.2
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2023.1
CANCELADO,"34,76%",2018.1,2013.2
CANCELADO,"0,00%",2018.1,2014.2
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2021.1
CANCELADO,"0,00%",2020.1,2019.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"0,00%",2018.1,2018.1
EXCLUÍDO,"0,00%",-,2020.1
EXCLUÍDO,"0,00%",-,2020.1
PENDENTE CADASTRO,"0,00%",-,2023.1
CANCELADO,"36,59%",2017.2,2017.1
CANCELADO,"0,00%",2018.1,2018.1
EXCLUÍDO,"0,00%",-,2020.1
CANCELADO,"0,00%",2018.1,2017.2
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"4,88%",2018.1,2016.2
EXCLUÍDO,"0,00%",-,2020.1
ATIVO,"2,44%",2023.1,2019.1
EXCLUÍDO,"0,00%",-,2019.1
CONCLUÍDO,"100,00%",2018.2,2014.2
ATIVO,"76,83%",2023.1,2020.1
ATIVO,"4,88%",2023.1,2021.1
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"0,00%",2021.1,2021.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2023.1
ATIVO,"2,44%",2023.1,2023.1
EXCLUÍDO,"0,00%",-,2022.1
ATIVO,"24,39%",2023.1,2022.1
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"0,00%",2018.1,2017.2
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2022.1
EXCLUÍDO,"0,00%",-,2018.1
CANCELADO,"14,63%",2020.2,2017.2
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2020.1
CANCELADO,"7,32%",2020.1,2018.1
EXCLUÍDO,"0,00%",-,2020.1
ATIVO,"53,66%",2023.1,2019.1
EXCLUÍDO,"0,00%",-,2018.1
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2019.1
EXCLUÍDO,"0,00%",-,2018.2
CANCELADO,"0,00%",2018.2,2017.2
EXCLUÍDO,"0,00%",-,2021.1
EXCLUÍDO,"0,00%",-,2019.1
ATIVO,"18,29%",2023.1,2021.1
EXCLUÍDO,"0,00%",-,2018.2
CANCELADO,"2,44%",2020.1,2016.2
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"20,73%",2020.1,2020.1
EXCLUÍDO,"0,00%",-,2023.1
EXCLUÍDO,"0,00%",-,2019.1
CANCELADO,"0,00%",2021.1,2020.1
EXCLUÍDO,"0,00%",-,2018.2
