codigo,ano,situacao,qtd_feminino,qtd_masculino
PROGRAMACAO IMPERATIVA,2017,APROVADO,3,5
PROGRAMACAO IMPERATIVA,2017,DESISTENCIA,0,2
PROGRAMACAO IMPERATIVA,2017,REP. MEDIA/FALTAS,3,7
PROGRAMACAO IMPERATIVA,2017,REPROVADO,2,4
PROGRAMACAO IMPERATIVA,2017,TRANCADO,0,3
PROGRAMACAO IMPERATIVA,2018,APROVADO,9,10
PROGRAMACAO IMPERATIVA,2018,REP. MEDIA/FALTAS,8,16
PROGRAMACAO IMPERATIVA,2018,REPROVADO,4,3
PROGRAMACAO IMPERATIVA,2018,TRANCADO,0,10
PROGRAMACAO IMPERATIVA,2019,APROVADO,4,8
PROGRAMACAO IMPERATIVA,2019,REP. MEDIA/FALTAS,19,18
PROGRAMACAO IMPERATIVA,2019,REPROVADO,1,2
PROGRAMACAO IMPERATIVA,2019,TRANCADO,3,6
PROGRAMACAO IMPERATIVA,2020,APROVADO,3,4
PROGRAMACAO IMPERATIVA,2020,REPROVADO,6,9
PROGRAMACAO IMPERATIVA,2020,TRANCADO,6,2
PROGRAMACAO IMPERATIVA,2021,APROVADO,17,11
PROGRAMACAO IMPERATIVA,2021,REPROVADO,5,5
PROGRAMACAO IMPERATIVA,2021,TRANCADO,5,3
PROGRAMACAO IMPERATIVA,2022,APROVADO,12,5
PROGRAMACAO IMPERATIVA,2022,REP. MEDIA/FALTAS,0,2
PROGRAMACAO IMPERATIVA,2022,REPROVADO,2,7
PROGRAMACAO IMPERATIVA,2022,TRANCADO,2,6
FISICA 1,2017,APROVADO,2,3
FISICA 1,2017,REP. MEDIA/FALTAS,3,7
FISICA 1,2017,REPROVADO,3,5
FISICA 1,2018,APROVADO,8,11
FISICA 1,2018,REP. MEDIA/FALTAS,1,2
FISICA 1,2018,REPROVADO,1,5
FISICA 1,2018,TRANCADO,0,2
FISICA 1,2019,APROVADO,3,9
FISICA 1,2019,REP. MEDIA/FALTAS,0,3
FISICA 1,2019,REPROVADO,2,4
FISICA 1,2020,APROVADO,8,6
FISICA 1,2020,REPROVADO,1,4
FISICA 1,2020,TRANCADO,1,2
FISICA 1,2021,APROVADO,11,9
FISICA 1,2021,REPROVADO,4,6
FISICA 1,2021,TRANCADO,2,2
FISICA 1,2022,APROVADO,10,8
FISICA 1,2022,REP. MEDIA/FALTAS,2,4
FISICA 1,2022,REPROVADO,2,3
FISICA 2,2017,APROVADO,1,2
FISICA 2,2017,REP. MEDIA/FALTAS,0,2
FISICA 2,2017,REPROVADO,0,3
FISICA 2,2017,TRANCADO,1,2
FISICA 2,2018,APROVADO,2,4
FISICA 2,2018,REPROVADO,5,2
