codigo,ano,situacao,qtd_feminino,qtd_masculino
FISICA EXPERIMENTAL I,2017,APROVADO,0.2727272727,0.1904761905
FISICA EXPERIMENTAL I,2017,REPROVADO,0.2727272727,0.04761904762
FISICA EXPERIMENTAL I,2018,APROVADO,0.3636363636,0.3333333333
FISICA EXPERIMENTAL I,2018,REPROVADO,0.2727272727,0.3333333333
FISICA EXPERIMENTAL I,2019,APROVADO,0.2727272727,0.1904761905
FISICA EXPERIMENTAL I,2019,REPROVADO,0.1818181818,0.2857142857
FISICA EXPERIMENTAL I,2020,APROVADO,0.1363636364,0.04761904762
FISICA EXPERIMENTAL I,2020,REPROVADO,0,0.1428571429
FISICA EXPERIMENTAL I,2021,APROVADO,0.1818181818,0.1904761905
FISICA EXPERIMENTAL I,2021,REPROVADO,0,0.04761904762
FISICA EXPERIMENTAL I,2022,APROVADO,0.5454545455,1
FISICA EXPERIMENTAL I,2022,REPROVADO,0.09090909091,0.2857142857
FISICA EXPERIMENTAL I,2023,APROVADO,0.5454545455,0.5238095238
FISICA EXPERIMENTAL I,2023,REPROVADO,0,0.04761904762
FISICA I,2017,APROVADO,0.1818181818,0.09523809524
FISICA I,2017,REPROVADO,0.5909090909,0.1904761905
FISICA I,2018,APROVADO,0.2272727273,0.09523809524
FISICA I,2018,REPROVADO,0.5909090909,0.4761904762
FISICA I,2019,APROVADO,0.09090909091,0.380952381
FISICA I,2019,REPROVADO,1,0.5714285714
FISICA I,2020,APROVADO,0.6363636364,0.3333333333
FISICA I,2020,REPROVADO,0.1363636364,0.2380952381
FISICA I,2021,APROVADO,0.3181818182,0.380952381
FISICA I,2021,REPROVADO,0.1363636364,0.2857142857
FISICA I,2022,APROVADO,0.2272727273,0.5238095238
FISICA I,2022,REPROVADO,0.2727272727,0.380952381
FISICA I,2023,APROVADO,0.09090909091,0.1428571429
FISICA I,2023,REPROVADO,0.2727272727,0.3333333333
COMPUTACAO I,2017,APROVADO,0.3181818182,0.1904761905
COMPUTACAO I,2017,REPROVADO,0.2727272727,0.04761904762
COMPUTACAO I,2018,APROVADO,0.2727272727,0.4285714286
COMPUTACAO I,2018,REPROVADO,0.3181818182,0.1428571429
COMPUTACAO I,2019,APROVADO,0.2727272727,0.380952381
COMPUTACAO I,2019,REPROVADO,0.09090909091,0.2380952381
COMPUTACAO I,2020,APROVADO,0.2727272727,0.2857142857
COMPUTACAO I,2020,REPROVADO,0.1818181818,0.3333333333
COMPUTACAO I,2021,APROVADO,0.4545454545,0.4761904762
COMPUTACAO I,2021,REPROVADO,0,0.2380952381
COMPUTACAO I,2022,APROVADO,0.4090909091,0.4285714286
COMPUTACAO I,2022,REPROVADO,0.2727272727,0.09523809524
COMPUTACAO I,2023,APROVADO,0.2727272727,0.2857142857
COMPUTACAO I,2023,REPROVADO,0.2272727273,0.1904761905
CALCULO DIFERENCIAL E INTERGRAL I,2017,APROVADO,0.3181818182,0.09523809524
CALCULO DIFERENCIAL E INTERGRAL I,2017,REPROVADO,0.3636363636,0.1428571429
CALCULO DIFERENCIAL E INTERGRAL I,2018,APROVADO,0.3636363636,0.380952381
CALCULO DIFERENCIAL E INTERGRAL I,2018,REPROVADO,0.3181818182,0.1428571429
CALCULO DIFERENCIAL E INTERGRAL I,2019,APROVADO,0.3181818182,0.2857142857
CALCULO DIFERENCIAL E INTERGRAL I,2019,REPROVADO,0.4090909091,0.4285714286
CALCULO DIFERENCIAL E INTERGRAL I,2020,APROVADO,0.3636363636,0.4285714286
CALCULO DIFERENCIAL E INTERGRAL I,2020,REPROVADO,0.1363636364,0.1428571429
CALCULO DIFERENCIAL E INTERGRAL I,2021,APROVADO,0.3636363636,0.2857142857
CALCULO DIFERENCIAL E INTERGRAL I,2021,REPROVADO,0.09090909091,0.380952381
